node,colors,x,y
0,blue,-10.998988392660051,10.26425622520394
1,blue,-10.999610537833858,2.0280846157130044
2,blue,-2.6994446490726034,-15.367907383095577
3,blue,-13.597737400222426,-4.680559188071456
4,blue,12.232685702717733,2.3757510984373518
5,blue,-8.576508941550777,4.301943697601749
6,blue,2.753888317510561,-15.203567795312395
7,blue,12.029585735487252,9.471585542462785
8,red,-2.17727851144148,7.1389875306890955
68,red,2.785380896735394,6.7093455085513485
96,red,-6.562649425372708,6.597296232184832
9,red,6.530644382763941,7.296179227259126
10,blue,3.837294392963885,12.315851235875298
11,blue,-14.22365502711645,-0.7513217526094478
12,blue,15.208068191814847,-7.039157754138445
13,blue,2.6863138775220627,-6.116580196609344
14,blue,5.884581699432213,15.660878627454046
15,blue,-15.36835180336486,-7.025806079360594
16,blue,15.761713239159702,-4.740662600275327
17,blue,-7.234099725281496,15.046574892039494
18,blue,10.14667487035698,-6.058185183928553
19,blue,-3.977117153599051,-10.723725999668412
20,blue,-14.70743148461719,6.8333372901920235
21,blue,7.566296987253369,-5.541634681139992
22,blue,-7.333554241843427,-15.04310322277746
23,blue,15.932547292297595,5.984612349332769
24,blue,10.84732927690667,-8.556580784901328
25,blue,3.6197151534158656,14.76241594547493
26,blue,6.220244194048118,-14.285904100472019
27,blue,8.282030275497876,14.356153235222063
28,blue,0.40427755935381376,4.956681208440087
29,blue,12.901028833463434,11.139253692059174
30,blue,12.069329703138125,5.645708261130826
31,blue,3.163856470373034,-9.866172213298116
32,blue,-0.9105526335605567,-6.300011572912232
33,blue,15.5330785289606,-0.4057405472867528
34,blue,3.743578593979647,-13.05235525704614
35,blue,-2.404380924441143,-13.05858637885335
36,red,-11.023018772519631,7.1198569750229215
38,red,-11.00346581991251,5.089098925835293
37,blue,1.2589192365956272,12.082976839119798
62,red,-13.805305348664339,4.4642868626153565
39,blue,9.7109431853068,11.360333305827831
40,blue,-4.521684285516709,-2.43313491459477
41,blue,3.653136422529404,9.332516231633816
42,blue,-15.806202188643667,-2.474654927806493
43,blue,8.072061959470128,5.170114429933069
44,blue,-6.160996483166779,12.081101851577326
45,blue,-13.261829820068552,-7.178002678964727
46,blue,-11.129641808327804,-0.6982125677080209
47,blue,-9.21016893804064,-11.158061611652855
48,blue,11.229313921284698,-12.813948185915779
49,blue,6.525114100060938,12.903464143324024
50,blue,-1.1863586649346738,13.317136572943964
51,blue,5.73667543815413,-11.353804491314618
52,blue,4.7331709045811134,-16.428337487017462
53,blue,8.300055740841872,-12.454464317059994
54,blue,10.290318086438257,-10.859761074241698
55,blue,-16.314649171714937,4.6654353733358995
56,blue,10.450960162301081,13.33569889844201
57,blue,13.947258981085664,4.508879986657103
58,blue,0.16763669866991124,-13.789868480560754
59,blue,15.678640062415248,3.3370386841359307
60,blue,-12.725884878000723,8.545450971224547
61,blue,0.865366160023231,14.99747810612609
63,blue,8.667243905802058,-2.015061546868436
64,blue,13.164514484172905,-0.3353367934173928
65,blue,14.32804232016724,7.901968264644312
66,blue,-13.662920093611453,1.839023710372042
67,blue,-8.251071753491068,8.780648387410421
69,blue,-4.93517245202265,-16.091881350723135
70,blue,-9.1556216907147,13.760457925065507
71,blue,-16.994894570827423,-0.25937483652675947
72,blue,8.322519404037347,-14.682968024972059
73,blue,9.328770111245431,3.026525343217486
74,red,-10.579178788894707,-6.588236841234613
84,red,-8.830538275936664,-8.38172116351087
75,blue,-4.6839512698677215,-6.311653971921364
76,blue,-11.88960506618363,-3.2233907360941707
77,blue,-1.237086545068904,-16.899840653820117
78,blue,-4.883875149785647,9.504771771395763
79,blue,13.437540968834279,-8.231482769794392
80,blue,2.6710090189080167,16.792629896154537
81,blue,-14.137715316022305,9.76708832317463
82,blue,-11.926834766823966,-12.006083554040531
83,blue,-5.135245412739392,-13.22663924607661
85,blue,11.304458880494636,7.554296824996244
86,blue,-11.383798504984263,-9.763960108969425
87,blue,-11.400056982351723,12.438676024382803
88,blue,-1.1250751398313636,-9.504570353425482
89,blue,16.650700333529056,1.4942496678728743
90,blue,-0.5979866282496843,16.88281243311801
91,blue,5.9450214051733,1.6515922196994475
92,blue,12.89020595323864,-5.4492200767775065
93,blue,5.576165939337826,-7.91290836322766
94,blue,-8.449885066945852,11.439085457643257
95,blue,-5.846057865563116,-8.947650125094915
97,blue,11.453056162046138,-3.0340785572195217
98,blue,-4.838843562680724,13.905852712843203
99,blue,14.327510095227469,-2.9610849106728985
100,blue,1.0602168915690025,-16.47619291342363
101,blue,6.35654234376466,10.436546475519851
102,blue,-4.644263044848515,3.7840618804907624
103,blue,17.0,-2.1000602454021218
104,blue,13.141693712887891,-10.458593968658983
105,blue,-2.4875008112941943,15.588248701083934
106,blue,-8.366444936356737,-2.4019152031741693
107,blue,-0.20185992234701577,9.724548237148392
108,blue,-8.224777214903431,-5.3649125086425205
109,blue,7.918898533567811,-9.270982795014366
110,blue,-13.6533152232434,-9.55664825425477
111,blue,5.359019341143319,-2.6847964635368324
112,blue,-16.156819630517983,1.922161806215399
113,blue,-7.507146062013221,0.9511930399115243
114,blue,-2.961349454152217,11.518498791014718
115,blue,-16.16454100149538,-4.4625373821930525
116,blue,0.8610239099205155,-11.456287927695413
117,blue,10.487161839088277,0.2039759231626288
118,blue,-7.379037087857134,-12.56364185612095
119,blue,-4.679949455288418,16.276045359363334
120,blue,8.868607286857088,9.330002560353533
121,blue,-9.684649041428202,-13.647246564854061
122,red,0.09799674390844972,0.06004718661960703
